## opening file [/atlas/dq2/rucio/group/det-indet/20/22/group.det-indet.8685043.EXT0._000032.InDetDxAOD.pool.root]...
## importing ROOT...
## importing ROOT... [DONE]
## opening file [OK]
File:/atlas/dq2/rucio/group/det-indet/20/22/group.det-indet.8685043.EXT0._000032.InDetDxAOD.pool.root
Size:    79893.689 kb
Nbr Events: 100

================================================================================
     Mem Size       Disk Size        Size/Evt      MissZip/Mem  items  (X) Container Name (X=Tree|Branch)
       5.175 kb        1.751 kb        0.018 kb        0.000      100  (B) AntiKt2PV0TrackJetsAuxDyn.JetGhostArea
       5.175 kb        1.751 kb        0.018 kb        0.000      100  (B) AntiKt2PV0TrackJetsAuxDyn.GhostHBosons
       4.642 kb        1.752 kb        0.018 kb        0.000      100  (B) AntiKt4EMTopoJetsAuxDyn.GhostBHadronsFinalPt
       4.642 kb        1.752 kb        0.018 kb        0.000      100  (B) AntiKt4EMTopoJetsAuxDyn.GhostBHadronsInitial
       4.642 kb        1.752 kb        0.018 kb        0.000      100  (B) AntiKt4EMTopoJetsAuxDyn.GhostCHadronsFinalPt
       4.642 kb        1.752 kb        0.018 kb        0.000      100  (B) AntiKt4EMTopoJetsAuxDyn.GhostCHadronsInitial
       5.186 kb        1.752 kb        0.018 kb        0.000      100  (B) BTagging_AntiKt2TrackAuxDyn.SV0_masssvx
       4.642 kb        1.752 kb        0.018 kb        0.000      100  (B) BTagging_AntiKt4EMTopoAuxDyn.SV0_badTracksIP
       4.631 kb        1.755 kb        0.018 kb        0.000      100  (B) BTagging_AntiKt4EMTopoAuxDyn.JetFitter_nVTX
       5.475 kb        1.757 kb        0.018 kb        0.000      100  (B) AntiKt3PV0TrackJetsAuxDyn.Dip12
       4.588 kb        1.757 kb        0.018 kb        0.000      100  (B) BTagging_AntiKt4EMTopoAuxDyn.SV1_deltaR
       5.196 kb        1.759 kb        0.018 kb        0.000      100  (B) BTagging_AntiKt2TrackAuxDyn.SV0_efracsvx
       4.652 kb        1.760 kb        0.018 kb        0.000      100  (B) AntiKt4EMTopoJetsAuxDyn.ConeExclBHadronsFinal
       4.652 kb        1.760 kb        0.018 kb        0.000      100  (B) AntiKt4EMTopoJetsAuxDyn.ConeExclCHadronsFinal
       4.637 kb        1.762 kb        0.018 kb        0.000      100  (B) BTagging_AntiKt4EMTopoAuxDyn.SV0_vertices
       5.196 kb        1.764 kb        0.018 kb        0.000      100  (B) AntiKt2PV0TrackJetsAuxDyn.GhostTausFinal
       5.196 kb        1.764 kb        0.018 kb        0.000      100  (B) AntiKt2PV0TrackJetsAuxDyn.GhostWBosonsPt
       5.196 kb        1.764 kb        0.018 kb        0.000      100  (B) AntiKt2PV0TrackJetsAuxDyn.GhostZBosonsPt
       5.196 kb        1.764 kb        0.018 kb        0.000      100  (B) AntiKt2PV0TrackJetsAuxDyn.GhostHBosonsPt
       4.631 kb        1.765 kb        0.018 kb        0.000      100  (B) AntiKt4EMTopoJetsAuxDyn.GhostBQuarksFinalPt
       5.186 kb        1.765 kb        0.018 kb        0.000      100  (B) BTagging_AntiKt2TrackAuxDyn.SV1_masssvx
       5.561 kb        1.766 kb        0.018 kb        0.000      100  (B) AntiKt3PV0TrackJetsAuxDyn.AlgorithmType
       4.663 kb        1.766 kb        0.018 kb        0.000      100  (B) AntiKt4EMTopoJetsAuxDyn.GhostBHadronsInitialPt
       4.663 kb        1.766 kb        0.018 kb        0.000      100  (B) AntiKt4EMTopoJetsAuxDyn.GhostCHadronsInitialPt
       4.663 kb        1.766 kb        0.018 kb        0.000      100  (B) AntiKt4EMTopoJetsAuxDyn.GhostTQuarksFinalCount
       5.186 kb        1.766 kb        0.018 kb        0.000      100  (B) BTagging_AntiKt2TrackAuxDyn.SV0_N2Tpair
       4.631 kb        1.768 kb        0.018 kb        0.000      100  (B) AntiKt4EMTopoJetsAuxDyn.GhostCQuarksFinalPt
       5.164 kb        1.770 kb        0.018 kb        0.000      100  (B) BTagging_AntiKt2TrackAuxDyn.MSV_nvsec
       5.239 kb        1.771 kb        0.018 kb        0.000      100  (B) AntiKt2PV0TrackJetsAuxDyn.TruthLabelDeltaR_T
       4.674 kb        1.772 kb        0.018 kb        0.000      100  (B) AntiKt4EMTopoJetsAuxDyn.GhostBHadronsFinalCount
       4.674 kb        1.772 kb        0.018 kb        0.000      100  (B) AntiKt4EMTopoJetsAuxDyn.GhostCHadronsFinalCount
       5.196 kb        1.772 kb        0.018 kb        0.000      100  (B) BTagging_AntiKt2TrackAuxDyn.SV1_efracsvx
       5.518 kb        1.772 kb        0.018 kb        0.000      100  (B) BTagging_AntiKt3TrackAuxDyn.SV1_Lxy
       5.186 kb        1.773 kb        0.018 kb        0.000      100  (B) BTagging_AntiKt2TrackAuxDyn.SV1_N2Tpair
       5.518 kb        1.773 kb        0.018 kb        0.000      100  (B) BTagging_AntiKt3TrackAuxDyn.SV1_L3d
       3.370 kb        1.773 kb        0.018 kb        0.000      100  (B) MuonsAuxDyn.ET_HECCore
       4.609 kb        1.774 kb        0.018 kb        0.000      100  (B) BTagging_AntiKt4EMTopoAuxDyn.SV1_normdist
       4.663 kb        1.775 kb        0.018 kb        0.000      100  (B) AntiKt4EMTopoJetsAuxDyn.GhostBQuarksFinalCount
       5.196 kb        1.775 kb        0.018 kb        0.000      100  (B) BTagging_AntiKt2TrackAuxDyn.SV0_NGTinSvx
       5.218 kb        1.776 kb        0.018 kb        0.000      100  (B) AntiKt2PV0TrackJetsAuxDyn.GhostTausFinalPt
       4.663 kb        1.777 kb        0.018 kb        0.000      100  (B) AntiKt4EMTopoJetsAuxDyn.GhostCQuarksFinalCount
       4.556 kb        1.777 kb        0.018 kb        0.000      100  (B) AntiKt4EMTopoJetsAuxDyn.ECPSFraction
       5.196 kb        1.777 kb        0.018 kb        0.000      100  (B) BTagging_AntiKt2TrackAuxDyn.SV0_normdist
       5.175 kb        1.777 kb        0.018 kb        0.000      100  (B) BTagging_AntiKt2TrackAuxDyn.SV1_deltaR
       5.229 kb        1.780 kb        0.018 kb        0.000      100  (B) BTagging_AntiKt2TrackAuxDyn.SV0_dstToMatLay
       4.695 kb        1.782 kb        0.018 kb        0.000      100  (B) AntiKt4EMTopoJetsAuxDyn.GhostBHadronsInitialCount
       4.695 kb        1.782 kb        0.018 kb        0.000      100  (B) AntiKt4EMTopoJetsAuxDyn.GhostCHadronsInitialCount
       4.631 kb        1.782 kb        0.018 kb        0.000      100  (B) BTagging_AntiKt4EMTopoAuxDyn.JetFitter_ndof
       5.229 kb        1.783 kb        0.018 kb        0.000      100  (B) AntiKt2PV0TrackJetsAuxDyn.GhostWBosonsCount
       5.229 kb        1.783 kb        0.018 kb        0.000      100  (B) AntiKt2PV0TrackJetsAuxDyn.GhostZBosonsCount
       5.229 kb        1.783 kb        0.018 kb        0.000      100  (B) AntiKt2PV0TrackJetsAuxDyn.ConeExclTausFinal
       5.229 kb        1.783 kb        0.018 kb        0.000      100  (B) AntiKt2PV0TrackJetsAuxDyn.GhostHBosonsCount
       5.229 kb        1.783 kb        0.018 kb        0.000      100  (B) AntiKt2PV0TrackJetsAuxDyn.GhostTQuarksFinal
       5.593 kb        1.783 kb        0.018 kb        0.000      100  (B) AntiKt3PV0TrackJetsAuxDyn.ConstituentScale
       5.229 kb        1.783 kb        0.018 kb        0.000      100  (B) BTagging_AntiKt2TrackAuxDyn.SV0_badTracksIP
